scenario,variant,subjects,TIR_mean,TBR_mean,Time_below_54_mean,Mean_glucose_mean,CV_mean,LBGI_mean
nocturnal,DMPC baseline,20,78.31597222222221,16.99652777777778,13.038194444444446,114.36547611005247,37.950982559172985,19.397654474040017
nocturnal,SMPC full,20,88.07291666666666,5.190972222222222,1.8923611111111112,129.03282511414486,24.281397768320765,1.4500706144685838
nocturnal,SMPC no chance tightening,20,88.10763888888889,5.295138888888888,1.996527777777778,128.82559456904562,24.272129222352344,1.4579066644767402
nocturnal,SMPC no variance penalty,20,88.125,5.138888888888888,1.840277777777778,129.16820708030957,24.250744258225374,1.4183009241858087
nocturnal,SMPC short horizon,20,70.74652777777777,23.645833333333336,8.958333333333332,102.85428079598232,39.51132629664972,7.140514101841274
variable,DMPC baseline,20,80.92013888888889,14.166666666666666,8.76736111111111,117.76122663525118,32.457909950584664,11.386623491380764
variable,SMPC full,20,85.06944444444444,7.864583333333333,4.392361111111112,125.59257577159049,27.52695280935547,3.379465348495696
variable,SMPC no chance tightening,20,84.14930555555556,8.4375,4.496527777777778,124.57019067907552,28.40616329480219,3.543982904300504
variable,SMPC no variance penalty,20,85.06944444444444,7.864583333333333,4.392361111111112,125.66119101859537,27.451044098143235,3.3688590978986213
variable,SMPC short horizon,20,68.19444444444444,27.743055555555554,16.614583333333336,99.99891727832862,42.296116567490984,11.025100595107611
